name,lon,lat,sess,device
Indiana,-86.1746933,40.3270127,2290,desktop
England,-0.540240236617,52.7954791,1239,desktop
California,-118.7559974,36.7014631,1063,desktop
New York,-73.9865812,40.7305991,849,desktop
Karnataka,75.7223521,14.5203896,557,desktop
Texas,-99.5120986,31.8160381,518,desktop
Illinois,-89.4339809,40.0796319,509,desktop
Maharashtra,76.0554568,19.531932,423,desktop
Florida,-81.4639835,27.7567667,362,desktop
Massachusetts,-72.032366,42.3788774,328,desktop
Ontario,-86.0000001,50.0000002,297,desktop
Pennsylvania,-77.7278831,40.9699889,290,desktop
Virginia,-78.4927721,37.1232245,273,desktop
Delhi,77.2272603,28.6572914,272,desktop
North Carolina,-79.0392919,35.6729639,270,desktop
New Jersey,-74.4041622,40.0757384,266,desktop
Indiana,-86.1746933,40.3270127,256,mobile
Tamil Nadu,78.3665347,10.9094334,251,desktop
Georgia,-83.1137366,32.3293809,234,desktop
Ohio,-82.6881395,40.2253569,223,desktop
Michigan,-84.6824346,43.6211955,221,desktop
Colorado,-105.6077167,38.7251776,213,desktop
Maryland,-76.9382069,39.5162234,194,desktop
Telangana,79.1151663,17.8495919,182,desktop
Washington,-77.0366456,38.8949549,178,desktop
Ile-de-France,2.5670187,48.5716633,161,desktop
Uttar Pradesh,80.859666,27.1303344,161,desktop
Minnesota,-94.6113288,45.9896587,153,desktop
Tennessee,-86.2820081,35.7730076,134,desktop
Missouri,-92.5617875,38.7604815,132,desktop
Wisconsin,-89.6884637,44.4308975,129,desktop
Arizona,-111.7632755,34.395342,124,desktop
District of Columbia,-77.0366456,38.8949549,115,desktop
New South Wales,147.2869493,-31.8759835,115,desktop
Connecticut,-72.7342163,41.6500201,112,desktop
Metro Manila,121.039315543,14.5669327,110,desktop
Oregon,-120.737257,43.9792797,108,desktop
Delhi,77.2272603,28.6572914,107,mobile
California,-118.7559974,36.7014631,103,mobile
England,-0.540240236617,52.7954791,102,mobile
Bavaria,11.4038717,48.9467562,98,desktop
North Rhine-Westphalia,7.5533645,51.4785568,97,desktop
Utah,-111.7143584,39.4225192,91,desktop
Illinois,-89.4339809,40.0796319,90,mobile
New York,-73.9865812,40.7305991,89,mobile
Dublin City,-6.28104501853,53.35452415,88,desktop
Quebec,-72.0,54.0,85,desktop
Victoria,144.6780052,-36.5986096,82,desktop
British Columbia,-125.0,55.0,80,desktop
Gauteng,28.0813105,-25.9363439,80,desktop
Iowa,-93.3122705,41.9216734,79,desktop
Capital Region of Denmark,12.3136721669,55.86163965,78,desktop
Gujarat,71.9329241,23.1923325,78,desktop
North Holland,4.95206337708,52.69012615,76,desktop
Tel Aviv District,34.8071431648,32.09492,76,desktop
Kentucky,-85.1551411,37.5726028,75,desktop
Haryana,76.0,29.0,74,desktop
Scotland,-4.1140518,56.7861112,74,desktop
South Carolina,-80.4363743,33.6874388,74,desktop
West Bengal,87.6855882,22.9964948,72,desktop
Stockholm County,18.0710935,59.3251172,70,desktop
Indiana,-86.1746933,40.3270127,69,tablet
